Catégorie,Question,Oui/Non,Précisez (Obligatoire)
Sécurité physique,Le contrôle d'accès aux locaux a-t-il été défini ? (badge, espace dédié au projet),N/A,Projet logiciel interne JEMS — pas de locaux physiques dédiés gérés par l'équipe projet
Sécurité physique,Risques électrique - d'incendie - vol … ont-il été pris en compte ?,N/A,Hébergement local (dev) — risques physiques pris en charge par l'infrastructure JEMS
Sécurité logique,La gestion des habilitations et des accès aux ressources a-t-elle été définie ?,Non,Le module SSO (auth_sso.py) est désactivé. Aucun middleware d'authentification en place. Tous les endpoints API sont accessibles sans contrôle d'accès.
Sécurité logique,Les secrets (MDP - clé) sont-ils mémorisés dans un outil de gestion de mots de passe sécurisé ?,Non,La clé API OpenAI (sk-proj-D17V...) est stockée en clair dans le fichier .env. Aucun outil de type Teampass ou vault utilisé.
Sécurité des codes données et documents,Les codes sources sont-ils sauvegardés quotidiennement dans un dépôt de référence ?,Oui,Code source versionné sur GitHub (ahmed493/Spec-Generator-Platform) et GitLab JEMS (sziedi/spec-generator-platform) — branche dev2.
Sécurité des codes données et documents,Les documents associés au développement et au projet sont-ils sauvegardés ?,Partiellement,README.md présent dans le dépôt. Documentation technique partielle. Aucune sauvegarde automatisée des documents de conception.
Sécurité des codes données et documents,Les documents liés au projet sont-ils classifiés ?,Non,Aucune classification de documents n'a été mise en place (public / confidentiel / restreint).
Sécurité des codes données et documents,Les documents sont-ils marqués avec un niveau de diffusion ? (ex restreint client-Jems - confidentiel - …),Non,Pas de marquage de niveau de diffusion sur les livrables ou la documentation.
Sécurité des codes données et documents,Les documents doivent-ils être transférés de manière sécurisée ?,Non défini,Aucun protocole de transfert sécurisé de documents n'a été défini pour ce projet.
Sécurité des codes données et documents,Traitez-vous des données à caractère personnel ou sensibles ? Si Oui précisez,Oui,"Données traitées : credentials de connexion aux sources de données (GitHub token, BigQuery SA, PostgreSQL password, Power BI token, GCS SA key), clé API OpenAI. Potentiellement des spécifications de projets clients."
Sécurité des codes données et documents,Informations à caractère personnel nominatives,Non,Aucune donnée nominative utilisateur traitée dans l'application à ce stade.
Sécurité des codes données et documents,Informations à caractère personnel sensibles : médicales - politiques - religions - …,Non,Pas de données sensibles de cette nature traitées.
Sécurité des codes données et documents,"Informations interne au client ou l'entreprise : financières, comptables, ressources humaines, …",Partiellement,"Les spécifications techniques générées peuvent référencer des données internes (schémas BDD, structures de données métier). Pas de données financières directes."
Sécurité des codes données et documents,Autre (à préciser),Oui,"Credentials de sources de données (tokens, passwords, clés API) stockés en mémoire dans l'application backend sans chiffrement."
Sécurité des codes données et documents,"Des techniques pour sécuriser les données sensibles de types anonymisation, pseudonymisation, chiffrement, … ont-elles été mises en places ?",Non,Aucune technique de protection des données sensibles n'est implémentée. Credentials en clair en mémoire (dict Python). Base SQLite non chiffrée.
Les référentiels sécurisés,Un canal teams dédié au projet a-t-il été créé ?,Non vérifié,À confirmer par le chef de projet. Non renseigné dans le dépôt de sources.
Les référentiels sécurisés,Respecte t-il l'arborescence définie par Jems ?,Non vérifié,Structure du repo à valider par rapport à l'arborescence standard JEMS.
Les référentiels sécurisés,Les versions des codes sources sont-elles déposées sur la plateforme Gitlab ?,Oui,Code pushé sur https://gitlab.jems-group.com/sziedi/spec-generator-platform — branche dev2 avec commit « last updates: theme, pipeline steps, chatbot, multi-source projects ».
Les référentiels sécurisés,Utilisez-vous le gestionnaire de mots de passe collaboratif Jems (Teampass) ?,Non,Les secrets sont actuellement stockés dans le fichier .env local. Teampass non utilisé.
Séparation des environnements,"Les environnements du projet (développement, recette, pré-prod…) sont-ils séparés ?",Non,Un seul environnement de développement local. Pas d'environnement de recette ou pré-prod distinct.
Séparation des environnements,Ces environnements utilisent-ils une configuration de type Docker - VM… ?,Non,L'application tourne directement sur la machine locale (uvicorn + npm). Aucune containerisation (Docker) mise en place.
Séparation des environnements,Un protocole d'échange sécurisé est-il utilisé ? [VPN - sFTP - FTPS - SSH…],Non,Pas de protocole d'échange sécurisé défini. Communications locales non chiffrées (HTTP). Pas de HTTPS en développement.
La sécurité dans le cycle de vie d'un projet,Analyse de risque globale du projet,Oui,Analyse de risques réalisée — 15 risques identifiés et évalués (fichier securite_analyse_risques.csv). Score moyen 5.73/9. 2 risques critiques identifiés.
La sécurité dans le cycle de vie d'un projet,Les risques liés à l'IA ont-ils été intégrés dans l'analyse de risques du projet ?,Oui,R15 - Prompt injection via templates LLM identifié dans l'analyse. Risques OpenAI (clé exposée R2) également intégrés.
La sécurité dans le cycle de vie d'un projet,Plan Assurance Sécurité (PAS),Non,Aucun Plan Assurance Sécurité formalisé. À produire avant passage en production.
La sécurité dans le cycle de vie d'un projet,"Mise en place de processus/ procedures (exemples : gestion des accès, gestion des demandes et modifications, gestion des interruptions de service, …)",Non,Aucun processus formel de gestion des accès ou des incidents de sécurité n'a été mis en place.
La sécurité dans le cycle de vie d'un projet,Une matrice des accès a-t-elle été mise en place ?,Non,Pas de matrice des accès. L'application n'a pas de gestion des rôles/permissions (SSO désactivé).
La sécurité dans le cycle de vie d'un projet,Un plan de continuité d'activité a-t-il été établi ?,Non,Aucun PCA défini. Application en phase de développement — pas encore en production.
La sécurité dans le cycle de vie d'un projet,Le plan de continuité d'activité a-t-il été testé ?,Non,Sans objet — PCA non défini.
Sensibilisation des équipes,L'équipe projet a-t-elle été sensibilisée à la sécurité ?,Partiellement,Analyse de risques OWASP réalisée et partagée. Sensibilisation formelle non organisée.
Sensibilisation des équipes,L'équipe projet a-t-elle été sensibilisée RGPD ?,Non,Aucune sensibilisation RGPD formelle réalisée pour ce projet.
Sensibilisation des équipes,L'équipe projet a-t-elle été sensibilisée aux bonnes pratiques de développement ?,Non,Aucune session formelle de sensibilisation aux bonnes pratiques de développement sécurisé organisée.
Exigences client,Avez-vous pris connaissance de la charte ou de la politique de sécurité du client ?,N/A,Outil interne JEMS. Politique de sécurité interne JEMS applicable.
Exigences client,Les exigences du client sont-elles tracées ?,N/A,Projet interne. Les exigences fonctionnelles sont dans le README.
Exigences client,Les exigences du client ont-elles été testées ?,N/A,Projet interne en cours de développement.
Points de contrôle de la sécurité durant le projet,Des points de contrôle de la sécurité ont-ils été réalisés ?,Non,Aucun point de contrôle de sécurité formel n'a été planifié ou réalisé durant le projet.
Points de contrôle de la sécurité durant le projet,Sur l'attribution des droits et des rôles,Non,Aucune gestion des droits et rôles. SSO désactivé — tous les utilisateurs ont le même niveau d'accès (total).
Points de contrôle de la sécurité durant le projet,Sur les périmètres d'accès aux données sur un environnement ou une application,Non,Pas de périmètres d'accès définis. Toutes les données sont accessibles sans restriction.
Points de contrôle de la sécurité durant le projet,Sur les mesures d'authentification mises en place,Non,Aucune mesure d'authentification en place (auth_sso.py désactivé).
Points de contrôle de la sécurité durant le projet,Sur les techniques de chiffrement ou d'anonymisation des données utilisées,Non,Aucune technique de chiffrement ou d'anonymisation implémentée.
Points de contrôle de la sécurité durant le projet,Autres (à préciser),,
La sécurité liée au contrôle des versions,Une surveillance automatisée de la mise à disposition de patchs et nouvelles versions de tous les composants a-t-elle été mise en place ?,Non,Aucun outil de surveillance automatique des dépendances (type Dependabot ou Renovate) configuré.
La sécurité liée au contrôle des versions,Une procédure de remplacement ou de patching a-t-elle été rédigée ?,Non,Aucune procédure de patching documentée.
La sécurité liée au contrôle des versions,Cette procédure a-t-elle été testée ?,Non,Sans objet — procédure non définie.
CLOUD - Sécurité des données,Les communications avec le Cloud sont-elles chiffrées dans leur intégralité ?,Partiellement,Les appels vers l'API OpenAI utilisent HTTPS. Les communications internes (frontend ↔ backend) sont en HTTP non chiffré. Pas de HTTPS configuré pour le backend FastAPI.
CLOUD - Sécurité des données,"Les données particulièrement sensibles, comme les identifiants de compte sont-elles chiffrées ?",Non,"Les credentials (tokens GitHub, passwords PostgreSQL, clés GCS, clé OpenAI) sont stockés en clair dans un dictionnaire Python en mémoire."
CLOUD - Sécurité des données,Les données qui sont chargées dans le Cloud sont-elles chiffrées de bout en bout ?,Non,Pas de chiffrement bout-en-bout. Les données transitent en clair entre le frontend et le backend.
CLOUD - Sécurité des données,Les clés de chiffrement sont-elles modifiées régulièrement ?,Non,Aucune rotation des clés. La clé API OpenAI n'a jamais été renouvelée.
CLOUD - Sécurité des données,"Avez-vous vérifié si un bucket de stockage dans le Cloud était resté ouvert ? (exception : sauf volonté expresse d'exposer publiquement des contenus sur le web).",Non vérifié,"Un serveur MCP GCS est présent (gcs_server.py). Aucune vérification de la configuration des buckets GCS (accès publics) n'a été réalisée."
CLOUD - Conservation des données et continuité des activités,Une sauvegarde de clé de chiffrement a-t-elle bien été conservée en dehors Cloud ?,Non,Aucune clé de chiffrement gérée. Aucune sauvegarde de clé.
CLOUD - Conservation des données et continuité des activités,Disposez-vous d'une sauvegarde d'au moins une partie des données afin de pouvoir restaurer les données en cas de panne du Cloud et d'assurer la continuité d'activité ?,Non,Pas de stratégie de sauvegarde des données. Base SQLite locale sans backup automatique.
CLOUD - Gestion de l'identité et des accès,Les accès des utilisateurs sont-ils centralisés dans un annuaire ?,Non,Aucun annuaire centralisé. Pas d'IAM configuré.
CLOUD - Gestion de l'identité et des accès,L'authentification multifacteur (MFA) est-elle en place ?,Non,Aucune authentification en place. MFA non applicable tant que l'authentification de base n'est pas implémentée.
CLOUD - Prévention et atténuation des menaces,Avez-vous mis en place une micro-segmentation pour créer des zones sécurisées dans les centres de données et les déploiements cloud ?,Non,Pas de micro-segmentation. Application monolithique sans isolation réseau.
CLOUD - Prévention et atténuation des menaces,Avez-vous vérifié que les paramètres par défaut que ces paramètres ont bien été changés ?,Non,Paramètres par défaut non audités (CORS wildcard * - pas de rate limiting - pas de security headers).
CLOUD - Prévention et atténuation des menaces,Les commandes de sécurité proposées par le fournisseur de services ont-elles été activées ?,Non,Les recommandations de sécurité OpenAI (usage policies - rate limits - usage monitoring) non configurées.
